Path,Sample,FileName,Classifier,Reference
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_B,0.1X_Cacnes_B,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_C,0.1X_Cacnes_C,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_D,0.1X_Cacnes_D,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_E,0.1X_Cacnes_E,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_F,0.1X_Cacnes_F,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_G,0.1X_Cacnes_G,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_H,0.1X_Cacnes_H,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_I,0.1X_Cacnes_I,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_J,0.1X_Cacnes_J,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_K,0.1X_Cacnes_K,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_L,0.1X_Cacnes_L,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_M,0.1X_Cacnes_M,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_N,0.1X_Cacnes_N,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_O,0.1X_Cacnes_O,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_P,0.1X_Cacnes_P,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_Q,0.1X_Cacnes_Q,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_R,0.1X_Cacnes_R,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_S,0.1X_Cacnes_S,Cacnes_classifiers,Pacnes_C1
/home/equ/mit_lieberman/projects/evan/phlame_benchmarking/2024_04_simulate_benchmarking/Cacnes_dropped/community_design/3-raw_data,01X_Cacnes_T,0.1X_Cacnes_T,Cacnes_classifiers,Pacnes_C1
